Taxon,species,flight,age,group,swim,body_len,mass,wing,tail,tarsus,barb_angle_m_l,barb_angle_m_t,rachis_width_m,rachis_length_m,barb_length_m_l,barb_length_m_t,barb_density_m_l,barb_density_m_t,barbule_length_m_t,barbule_density_m_distal,barbule_density_m_proximal
Coracias garrulus garrulus,Coracias garrulus garrulus,1,,Coraciiformes,0,194,146,206,125.9,27.3,19.5,29.2,0.727,59.208,12.123,23.982,1.560062402,2.904162633,0.616,33.78378378,27.02702703
Cuculus canorus canorus,Cuculus canorus canorus,1,,Cuculiformes,0,152,111.5,213,163.8,24,27.2,46.8,0.818,62.908,11.44,27.329,2.212389381,2.136752137,0.541,36.23188406,28.08988764
Bycanistes subcylindricus subquadratus,Bycanistes subcylindricus subquadratus,1,,Bucerotiformes,0,385,1200.5,338,266,67.8,22.1,36.6,1.46,88.369,19.993,32.251,1.436781609,1.745200698,0.406,34.01360544,24.3902439
Eurypyga helias helias,Eurypyga helias helias,1,,Eurypygiformes,0,290,210,206,139.4,53.1,16.5,42.92,0.733,57.154,19.692,22.223,1.390176089,3.525264395,0.346,54.34782609,45.04504505
Trogon strigilatus strigilatus,Trogon strigilatus strigilatus,1,,Trogoniformes,0,142,89.7,133,146.9,24.6,9.9,36.5,0.734,41.498,16.441,18.137,0.720634158,2.405773857,0.469,37.59398496,30.48780488
Colius colius,Colius colius,1,,Coliiformes,0,87,41.4,89.6,225,22.9,25.4,32.7,0.389,26.679,7.976,13.365,2.915451895,6.451612903,0.384,36.23188406,31.44654088
Gavia immer elasson,Gavia immer elasson,1,,Gaviiformes,3,584,4980,326,42.5,91.6,14.5,29.3,1.79,69.001,20,23.8,1.949317739,2.754820937,0.673,41.66666667,28.24858757
Leptosomus discolor discolor,Leptosomus discolor discolor,1,,Leptosomiformes,0,229,255,265,207,30,16.5,29.4,0.853,73.703,19.798,30.689,1.10660273,2.033898305,0.381,40.32258065,32.25806452
Accipiter nisus nisus,Accipiter nisus nisus,1,,Accipitriformes,0,176,237.5,232,166,65.3,9,34.1,1.133,68.074,22.781,25.168,0.647109577,2.491694352,0.381,39.37007874,27.32240437
Cathartes aura jota,Cathartes aura jota,1,,Cathartiformes,0,465,1220,537,264,64.2,21.8,40.3,1.77,136.754,31.673,44.807,1.274968126,1.613770845,0.532,32.89473684,18.79699248
Pterocles quadricinctus quadricinctus,Pterocles quadricinctus quadricinctus,1,,Pterocliformes,0,167,180,175,80.3,23,13.8,50.3,1.069,60.932,15.341,17.471,1.321003963,3.978779841,0.598,58.13953488,31.25
Caprimulgus europaeus europaeus,Caprimulgus europaeus europaeus,1,,Caprimulgidae,0,133,67,187,137.4,20.2,14,73.2,0.883,54.482,19.981,21.814,1.183898974,3.989361702,0.335,44.24778761,41.66666667
Apus apus apus,Apus apus apus,1,,Apodidae,0,90,37.6,166,70.9,9.9,22.09,32.88,0.828,50.721,9.135,17.225,2.210759027,3,0.42,47.61904762,40.98360656
Strix varia,Strix varia,1,,Strigiformes,0,264,716.5,339,236,61.4,14.4,33.9,1.228,87.82,32.679,48.837,1.096491228,2.371541502,1.025,32.89473684,23.25581395
Phaethon lepturus catesbyi,Phaethon lepturus catesbyi,1,,Phaethontiformes,0,276,367,275,452,28.7,12,53.2,1.846,80.517,22.925,26.662,0.91296409,2.673796791,0.461,29.06976744,48.54368932
Patagona gigas peruviana,Patagona gigas peruviana,1,,Trochilidae,0,112,20.2,128,83.2,7.1,20.2,56.8,0.76,40.027,5.913,13.298,1.6,3.896103896,0.372,46.72897196,38.16793893
Columba livia livia,Columba livia livia,1,,Columbiformes,0,209,354.5,223,125.7,33.3,15.9,37.6,0.914,56.719,21.106,25.364,1.319261214,2.790697674,0.364,53.76344086,37.31343284
Gallus gallus,Gallus gallus,1,,Galliformes,0,304,904,229,323,78.2,11,38.2,1.189,56.786,22.137,28.355,0.727625515,2.544529262,0.39,42.01680672,29.06976744
Mesitornis unicolor,Mesitornis unicolor,0,,Mesitornithiformes,0,142,148,112,112.2,38.7,38.9,54.3,0.647,33.29,10.451,19.425,2.431118314,3.003003003,0.454,34.96503497,34.24657534
Otis tarda tarda,Otis tarda tarda,1,,Otidiformes,0,800,7895.5,566,266,139.9,12.9,30.4,2.529,102.073,37.607,45.466,0.957854406,2.43902439,0.405,45.45454545,24.8447205
Fulica gigantea,Fulica gigantea,0,,Gruiformes,1,,,267,,,27.33,28.71,0.547,21.941,10.537,16.642,2.876318313,3.645200486,,,
Fulica gigantea,Fulica gigantea,0,,Gruiformes,1,,,277,,,26.06,34.84,1.123,46.081,11.008,19.937,2.487562189,3.10237849,,,
Fulica gigantea,Fulica gigantea,0,,Gruiformes,1,,,250,,,25.2,31.44,1.021,36.645,9.857,15.192,2.457002457,3.236245955,,,
Fulica gigantea,Fulica gigantea,0,,Gruiformes,1,,,261,,,27.53,35.14,1.145,43.885,10.718,19.974,2.661934339,3.25732899,,,
Fulica gigantea,Fulica gigantea,0,,Gruiformes,1,,,251,,,27.51,30.93,0.99,41.39,11.796,18.434,2.59965338,2.879078695,,,
Fulica armillata,Fulica armillata,1,,Gruiformes,1,,,198,,,20.13,25.18,0.539,26.902,11.275,16.951,2.325581395,3.55450237,,,
Fulica armillata,Fulica armillata,1,,Gruiformes,1,,,178,,,20.31,35.13,0.847,38.189,10.332,15.352,2.375296912,4.010695187,,,
Fulica armillata,Fulica armillata,1,,Gruiformes,1,,,188,,,18.93,32.97,0.954,34.519,8.833,15.12,2.331002331,3.836317136,,,
Fulica armillata,Fulica armillata,1,,Gruiformes,1,,,191,,,20.85,30.22,0.951,37.809,9.488,15.747,2.754820937,3.792667509,,,
Fulica armillata,Fulica armillata,1,,Gruiformes,1,,,201,,,19.84,33.89,1.172,36.836,9.38,16.298,2.551020408,4.081632653,,,
