species,flight,clade,swim,age,mass,wing,tarsus,tail,barb_angle_lm,barb_angle_tm,rachis_int_width,rachis_int_length,rachis_middle_width,rachis_middle_length,barb_length_lm,barb_length_tm,barb_width_tm,barbule_length_distal_tm,barbule_length_distal_ti,barbule_density_distal_ti,barbule_density_proximal_ti,barbule_density_middle_leading,barbule_density_middle_trailing,barb_density_int_leading,barb_density_int_trailing
Bycanistes subcylindricus subquadratus,1,Bucerotiformes,0,,1200.5,338,67.8,266,22.1,36.6,2.848,185.336,1.46,88.369,19.993,32.251,0.081,0.406,0.439,30.3030303,21.00840336,1.436781609,1.745200698,2.512562814,2.816901408
Eurypyga helias helias,1,Eurypygiformes,0,,210,206,53.1,139.4,16.5,42.92,1.451,115.298,0.733,57.154,19.692,22.223,0.049,0.346,0.563,53.76344086,39.68253968,1.390176089,3.525264395,3.10880829,4.966887417
Trogon strigilatus strigilatus,1,Trogoniformes,0,,89.7,133,24.6,146.9,9.9,36.5,1.265,82.95,0.734,41.498,16.441,18.137,0.062,0.469,0.353,34.48275862,27.02702703,0.720634158,2.405773857,0.452693526,3.278688525
Colius colius,1,Coliiformes,0,,41.4,89.6,22.9,225,25.4,32.7,0.648,48.818,0.389,26.679,7.976,13.365,0.05,0.384,0.52,37.03703704,29.06976744,2.915451895,6.451612903,3.134796238,4.06504065
Gavia immer elasson,1,Gaviiformes,3,,4980,326,91.6,42.5,14.5,29.3,2.872,138.121,1.79,69.001,20,23.8,0.07,0.673,0.566,47.61904762,29.06976744,1.949317739,2.754820937,1.714285714,2.851711027
Leptosomus discolor discolor,1,Leptosomiformes,0,,255,265,30,207,16.5,29.4,1.12,152.122,0.853,73.703,19.798,30.689,0.139,0.381,0.446,43.85964912,33.33333333,1.10660273,2.033898305,2.849002849,3.184713376
Accipiter nisus nisus,1,Accipitriformes,0,,237.5,232,65.3,166,9,34.1,2.236,139.714,1.133,68.074,22.781,25.168,0.012,0.381,0.192,46.72897196,31.64556962,0.647109577,2.491694352,4.444444444,5.385996409
Cathartes aura jota,1,Cathartiformes,0,,1220,537,64.2,264,21.8,40.3,2.552,267.856,1.77,136.754,31.673,44.807,0.24,0.532,0.685,47.61904762,22.32142857,1.274968126,1.613770845,1.252086811,2.636203866
Pterocles quadricinctus quadricinctus,1,Pterocliformes,0,,180,175,23,80.3,13.8,50.3,2.008,131.126,1.069,60.932,15.341,17.471,0.046,0.598,0.654,49.5049505,27.17391304,1.321003963,3.978779841,1.231021748,4.431314623
Caprimulgus europaeus europaeus,1,Caprimulgidae,0,,67,187,20.2,137.4,14,73.2,1.213,107.485,0.883,54.482,19.981,21.814,0.06,0.335,0.377,46.2962963,48.07692308,1.183898974,3.989361702,3.151260504,5.535055351
Apus apus apus,1,Apodidae,0,,37.6,166,9.9,70.9,22.09,32.88,1.496,97.132,0.828,50.721,9.135,17.225,0.036,0.42,0.347,47.16981132,38.75968992,2.210759027,3,2.260738508,3.456221198
Strix varia,1,Strigiformes,0,,716.5,339,61.4,236,14.4,33.9,2.489,181.59,1.228,87.82,32.679,48.837,0.054,1.025,0.824,33.11258278,23.80952381,1.096491228,2.371541502,1.003680161,2.849002849
Phaethon lepturus catesbyi,1,Phaethontiformes,0,,367,275,28.7,452,12,53.2,2.431,153.892,1.846,80.517,22.925,26.662,0.094,0.461,0.502,45.04504505,26.73796791,0.91296409,2.673796791,1.235076163,2.722323049
Patagona gigas peruviana,1,Trochilidae,0,,20.2,128,7.1,83.2,20.2,56.8,1.297,77.624,0.76,40.027,5.913,13.298,0.014,0.372,0.34,40.98360656,34.72222222,1.6,3.896103896,1.842751843,4.716981132
Columba livia livia,1,Columbiformes,0,,354.5,223,33.3,125.7,15.9,37.6,1.757,115.265,0.914,56.719,21.106,25.364,0.112,0.364,0.404,75.47169811,46.875,1.319261214,2.790697674,2.838221381,3.921568627
Gallus gallus,1,Galliformes,0,,904,229,78.2,323,11,38.2,2.39,112.521,1.189,56.786,22.137,28.355,0.172,0.39,0.437,47.16981132,40.98360656,0.727625515,2.544529262,2.228826152,2.865329513
Mesitornis unicolor,0,Mesitornithiformes,0,,148,112,38.7,112.2,38.9,54.3,1.308,66.35,0.647,33.29,10.451,19.425,0.05,0.454,0.358,38.16793893,35.21126761,2.431118314,3.003003003,3.856041131,3.680981595
Otis tarda tarda,1,Otidiformes,0,,7895.5,566,139.9,266,12.9,30.4,4.169,205,2.529,102.073,37.607,45.466,0.216,0.405,0.377,51.94805195,25.1572327,0.957854406,2.43902439,0.87387125,2.413515688
